LINK_ID,time,speed
2340007900.0,600,48.8375
2340007900.0,605,46.9125
2340007900.0,615,49.625
2340007900.0,625,46.675
2340007900.0,635,45.9375
2340007900.0,645,45.4
2340007900.0,655,44.3375
2340007900.0,700,44.6875
2340007900.0,705,47.4125
2340007900.0,715,47.5
2340007900.0,725,44.625
2340007900.0,735,38.9375
2340007900.0,745,35.625
2340007900.0,755,37.125
2340007900.0,800,35.142857142857146
2340007900.0,805,35.125
2340007900.0,815,34.625
2340007900.0,825,35.285714285714285
2340007900.0,835,35.142857142857146
2340007900.0,845,31.5
2340007900.0,855,33.25
2340007900.0,900,33.875
2340007900.0,905,33.25
2340007900.0,915,37.125
2340007900.0,925,39.875
2340007900.0,935,39.625
2340007900.0,945,35.0625
2340007900.0,955,38.375
2340008000.0,600,39.875
2340008000.0,605,32.75
2340008000.0,615,31.5875
2340008000.0,625,28.125
2340008000.0,635,30.25
2340008000.0,645,32.875
2340008000.0,655,36.875
2340008000.0,700,36.625
2340008000.0,705,34.125
2340008000.0,715,30.625
2340008000.0,725,31.875
2340008000.0,735,32.125
2340008000.0,745,32.125
2340008000.0,755,33.375
2340008000.0,800,31.857142857142858
2340008000.0,805,30.625
2340008000.0,815,30.125
2340008000.0,825,32.42857142857143
2340008000.0,835,32.857142857142854
2340008000.0,845,34.375
2340008000.0,855,32.875
2340008000.0,900,30.875
2340008000.0,905,31.25
2340008000.0,915,30.25
2340008000.0,925,28.5
2340008000.0,935,21.875
2340008000.0,945,28.5
2340008000.0,955,26.875
2340010104.0,600,50.2
2340010104.0,605,46.5375
2340010104.0,615,50.4375
2340010104.0,625,46.8375
2340010104.0,635,43.875
2340010104.0,645,45.1875
2340010104.0,655,42.0
2340010104.0,700,44.375
2340010104.0,705,45.2875
2340010104.0,715,44.95
2340010104.0,725,42.8125
2340010104.0,735,37.125
2340010104.0,745,35.0
2340010104.0,755,33.5
2340010104.0,800,36.142857142857146
2340010104.0,805,34.75
2340010104.0,815,34.375
2340010104.0,825,33.0
2340010104.0,835,33.42857142857143
2340010104.0,845,34.5
2340010104.0,855,32.75
2340010104.0,900,33.375
2340010104.0,905,33.25
2340010104.0,915,35.125
2340010104.0,925,39.5
2340010104.0,935,40.25
2340010104.0,945,36.1875
2340010104.0,955,38.75
2340010105.0,600,50.375
2340010105.0,605,50.625
2340010105.0,615,51.225
2340010105.0,625,49.075
2340010105.0,635,45.75
2340010105.0,645,46.8125
2340010105.0,655,44.875
2340010105.0,700,47.9375
2340010105.0,705,43.8375
